Total packets are: 45809

hop	packets	%
1	1475	0.0321989128774
2	1808	0.0394682267677
3	2881	0.0628915715252
4	8161	0.178152764741
5	20307	0.443297168679
6	9447	0.206225850815
7	1447	0.031587679277
8	179	0.00390752908817
9	35	0.00076404200048
10	18	0.000392935885961
11	11	0.000240127485865
12	4	8.73190857692e-05
13	5	0.000109148857211
14	1	2.18297714423e-05
15	5	0.000109148857211
16	3	6.54893143269e-05
17	1	2.18297714423e-05
18	1	2.18297714423e-05
19	1	2.18297714423e-05
20	3	6.54893143269e-05
22	1	2.18297714423e-05
24	1	2.18297714423e-05
25	1	2.18297714423e-05
26	1	2.18297714423e-05
27	1	2.18297714423e-05
28	2	4.36595428846e-05
35	1	2.18297714423e-05
38	1	2.18297714423e-05
40	3	6.54893143269e-05
46	1	2.18297714423e-05
51	1	2.18297714423e-05
56	1	2.18297714423e-05
64	1	2.18297714423e-05
