"result_time";"node_id";"parent_id";"rctp_psetsize";"rctp_parent";"rctp_retxs";"options";"thl";"etx";"origin_seqnum";"packet_type";"stats_petx";"stats_letx";"stats_raw_frssi";"stats_raw_brssi";"health_generated";"health_forwarded";"health_retransmissions";"health_dropped";"routingtableactive";"neighbor_id_0";"neighbor_petx_0";"neighbor_parent_0";"neighbor_id_1";"neighbor_petx_1";"neighbor_parent_1";"neighbor_id_2";"neighbor_petx_2";"neighbor_parent_2";"neighbor_id_3";"neighbor_petx_3";"neighbor_parent_3";"neighbor_id_4";"neighbor_petx_4";"neighbor_parent_4";"pkt_length";"parentparent"
"2016-08-18 00:17:07.612";20841;11501;2;22731;0;0;5;10;202;221;50;10;1;224;3019;108;503;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 00:24:40.385";21341;22631;5;22731;0;0;5;10;3;221;50;10;220;218;2820;196;318;0;14;23341;36;10501;22631;10;40031;20141;10;40031;21731;21;40031;0;0;0;55;40031
"2016-08-18 00:46:16.713";22731;40031;2;40031;0;0;4;10;115;221;40;10;222;224;5236;7983;1594;1;20;11301;10;11101;22631;10;40031;20541;10;11301;20641;10;11301;0;0;0;55;10301
"2016-08-18 00:48:11.321";21141;22831;5;20941;0;0;6;10;195;221;60;10;227;231;2756;1;1886;36;14;11501;28;40031;48895;30;22631;21151;10;20541;22931;11;20541;0;0;0;55;11501
"2016-08-18 00:52:38.22";20841;22731;2;22731;0;0;5;10;207;221;50;10;215;222;3024;108;504;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 01:19:30.492";22831;11501;5;20141;0;0;5;10;159;221;50;10;6;235;1184;821;179;0;20;22731;10;40031;20541;10;11301;11501;10;40031;23341;10;40031;0;0;0;55;40031
"2016-08-18 01:19:42.32";21341;20141;5;22731;0;0;5;10;11;221;50;10;216;212;2828;196;319;0;14;23341;33;10501;22631;10;40031;20141;10;40031;21731;21;40031;0;0;0;55;40031
"2016-08-18 01:23:55.244";23131;23341;5;22631;0;0;5;10;195;221;50;10;238;238;5828;21267;3501;2;20;22731;10;40031;23341;10;10501;11501;10;40031;21731;10;40031;0;0;0;55;40031
"2016-08-18 01:28:13.48";20841;22731;2;22731;2;0;5;10;213;221;50;10;215;222;3030;108;506;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 01:32:18.164";23031;10101;4;22731;0;0;5;10;220;221;50;10;2;220;4829;9498;1519;4;20;23341;10;10501;11501;10;40031;10101;10;40031;23131;10;40031;0;0;0;55;40031
