"result_time";"total_time";"node_id";"parent_id";"rctp_psetsize";"rctp_parent";"rctp_retxs";"options";"thl";"etx";"origin_seqnum";"packet_type";"stats_petx";"stats_letx";"stats_raw_frssi";"stats_raw_brssi";"health_generated";"health_forwarded";"health_retransmissions";"health_dropped";"ctrl_ntxpkt";"ctrl_nrxpkt";"ctrl_nparentchange";"ctrl_ntricklereset";"data_ntxpkt";"data_nrxpkt";"data_nrxacks";"data_nqueuedrops";"data_ndups";"data_ninconsistencies";"pkt_length"
"2016-08-18 00:00:16.073";582566405;20301;21731;5;10101;0;0;5;10;228;205;50;10;242;9;485;1125;338;6;5718;17939;62;1573;1947;1131;1603;0;6;2;52
"2016-08-18 00:00:37.136";3559312820;23031;23341;4;22731;1;0;5;10;212;205;50;10;237;241;4821;9496;1518;4;38472;37632;910;31454;15825;9499;14304;0;11;2;52
"2016-08-18 00:01:58.416";652147205;10701;10201;1;10201;0;0;2;10;240;205;20;10;1;255;497;17469;461;0;817;29130;12;184;18425;17519;17964;0;51;0;52
"2016-08-18 00:01:58.992";563904021;23241;10101;3;11501;0;0;5;10;197;205;50;10;2;219;454;173;255;1;6076;5049;115;2455;881;184;625;0;11;0;52
"2016-08-18 00:02:11.498";579672007;20711;11501;2;10101;0;0;5;10;205;205;50;10;7;7;462;314;37;0;8089;12078;67;2317;812;316;775;0;2;0;52
"2016-08-18 00:03:02.473";564292804;21151;20541;1;20541;0;0;5;10;88;205;51;11;213;217;601;170;268;1;3145;18280;74;898;1038;170;769;0;0;0;52
"2016-08-18 00:03:13.553";573696004;30751;30651;2;30651;0;0;7;10;15;205;70;10;225;225;528;0;385;2;306;31170;167;11;912;0;525;0;0;0;52
"2016-08-18 00:04:41.021";582163205;11001;11301;3;11201;0;0;4;10;250;205;40;10;4;4;507;1930;70;1;1083;5545;19;229;2505;1936;2434;0;7;0;52
"2016-08-18 00:06:17.184";561132004;50331;23341;2;23341;0;0;5;10;213;205;50;10;212;222;470;75;597;7;426;3940;136;63;1141;75;537;0;0;0;52
"2016-08-18 00:06:50.173";574257601;30551;21501;2;11801;0;0;6;10;173;205;68;18;0;211;430;226;774;9;1588;46559;221;335;1427;262;644;0;38;0;52
"2016-08-18 00:08:38.76";653889606;10201;1;1;1;0;0;1;10;110;205;10;10;2;255;623;40634;0;0;335;5199;4;25;41255;40750;41255;0;117;0;52
"2016-08-18 00:10:35.392";578030421;60201;62031;4;11401;0;0;6;10;56;205;61;11;213;216;569;61;216;0;26521;13901;473;33910;845;61;629;0;0;0;52
"2016-08-18 00:11:21.953";652392007;11101;10801;1;10801;0;0;2;10;16;205;20;10;0;255;529;20000;197;0;769;56066;6;158;20723;20211;20526;0;213;0;52
"2016-08-18 00:11:33.4";564933601;21031;20641;5;20441;0;0;5;10;11;205;50;10;216;225;524;152;79;0;3548;64757;46;1142;753;152;674;0;1;0;52
"2016-08-18 00:12:23.405";576720021;61331;61631;3;11401;0;0;6;10;35;205;60;10;242;240;548;29;216;1;24746;21851;495;29115;792;29;575;0;0;2;52
"2016-08-18 00:12:43.472";576374421;61731;61631;2;11401;0;0;6;10;213;205;60;10;242;242;470;17;181;1;25766;5775;479;31478;667;17;485;0;0;0;52
"2016-08-18 00:12:47.422";3560040020;23131;22631;5;22631;0;0;5;10;188;205;50;10;234;228;5821;21266;3500;2;42174;49787;589;56014;30559;21280;27057;0;41;0;52
"2016-08-18 00:13:19.741";1178258404;20141;40031;1;40031;0;0;4;10;87;205;40;10;214;223;2392;2168;287;3;4081;27352;94;1900;4846;2171;4556;0;3;1;52
"2016-08-18 00:15:01.392";651780006;40331;10501;3;10501;0;0;4;10;29;205;40;10;0;0;542;494;288;5;3127;38631;34;954;1323;495;1030;0;1;0;52
"2016-08-18 00:16:14.968";820368020;22931;23341;5;22731;0;0;5;10;163;205;50;10;232;232;1188;707;566;19;7894;59876;153;3323;2459;707;1874;0;1;0;52
"2016-08-18 00:19:31.312";581774421;22231;20541;5;10101;0;0;5;10;189;205;50;10;216;219;446;458;272;2;1471;11679;28;471;1175;459;901;0;1;0;52
"2016-08-18 00:21:28.562";577281621;61431;61631;3;21501;0;0;6;10;243;205;60;10;245;247;500;906;522;3;25312;60024;367;28911;1927;906;1402;0;0;0;52
"2016-08-18 00:22:08.784";580176006;11401;11501;2;10101;0;0;5;10;192;205;50;10;2;2;449;2369;147;0;20578;63667;104;9283;2937;2409;2790;0;67;0;52
"2016-08-18 00:22:09.905";652492822;40031;10301;2;10301;0;0;3;10;229;205;30;10;0;212;486;31597;2055;0;1152;54474;26;359;34119;31640;32064;0;61;0;52
"2016-08-18 00:24:09.98";563328021;20541;11301;1;11301;0;0;4;10;209;205;40;10;1;217;466;346;175;1;2451;27948;30;836;984;347;808;0;3;0;52
"2016-08-18 00:25:09.205";1185379201;21141;20941;5;20941;0;0;6;10;191;205;60;10;217;217;2752;1;1866;36;868;27848;374;161;4608;1;2716;0;0;0;52
"2016-08-18 00:25:12.657";1191204004;21341;11501;5;22731;0;0;5;10;4;205;50;10;255;239;2821;196;318;0;4408;18693;75;1958;3334;196;3016;0;0;2;52
"2016-08-18 00:26:45.118";558446421;23341;10501;1;10501;0;0;4;10;168;205;40;10;0;216;425;923;341;1;5215;16421;64;1647;1688;923;1346;0;0;0;52
"2016-08-18 00:27:40.952";582379221;22031;20641;5;10101;0;0;5;10;4;205;50;10;222;225;517;36;62;1;4042;41724;55;1467;614;36;551;0;0;0;52
"2016-08-18 00:27:41.737";584416806;10401;11301;1;11301;1;0;4;10;63;205;40;10;4;255;576;867;36;0;3033;37207;17;907;1475;873;1440;0;8;0;52
"2016-08-18 00:29:40.769";577785625;61531;21501;3;11401;2;0;6;10;210;205;61;11;0;209;467;193;410;1;25564;51240;477;29340;1066;193;657;0;1;2;52
"2016-08-18 00:29:54.804";578275221;60931;11401;2;11401;0;0;6;10;240;205;60;10;2;224;497;35;255;4;26689;45528;527;33927;786;35;527;0;0;1;52
"2016-08-18 00:30:24.464";653004021;40231;10501;3;10501;0;0;4;10;76;205;40;10;4;227;589;104;58;0;1898;56231;14;583;750;105;692;0;1;0;52
"2016-08-18 00:30:41.513";653292005;10501;10701;1;10701;0;0;3;10;53;205;30;10;2;255;566;6150;539;1;1333;22396;28;305;7251;6178;6711;0;31;0;52
"2016-08-18 00:32:20.68";579096021;60531;61631;2;11401;1;0;6;10;223;205;60;10;236;236;480;43;149;0;25888;20033;435;32467;669;43;521;0;1;0;52
"2016-08-18 00:33:35.116";580708806;21411;11801;5;50531;0;0;6;10;219;205;60;10;3;4;476;318;136;3;15451;60652;175;4811;924;349;790;0;31;4;52
"2016-08-18 00:36:04.613";577332021;62131;22631;4;20641;0;0;5;10;249;205;50;10;225;225;506;134;162;0;12918;28603;98;6207;800;134;638;0;1;0;52
"2016-08-18 00:36:57.992";655632006;10801;1;1;1;0;0;1;10;67;205;10;10;0;255;580;11697;448;4;456;4019;15;66;12724;11774;12272;0;77;0;52
"2016-08-18 00:39:20.185";557992807;10911;11101;1;11101;0;0;3;10;208;205;30;10;2;255;465;0;216;0;263;744;15;16;680;0;464;0;0;0;52
"2016-08-18 00:41:26.413";576734404;30251;21501;1;21501;1;0;6;10;15;205;60;10;1;220;528;33;572;6;317;55403;158;43;1131;33;554;0;0;0;52
"2016-08-18 00:42:59.288";577756821;62031;21731;2;11501;0;0;5;10;50;205;50;10;221;218;563;209;194;0;10774;44325;99;4969;963;210;769;0;3;0;52
"2016-08-18 00:44:08.009";578577621;61631;10101;1;10101;0;0;5;10;3;205;50;10;0;217;516;1657;1203;6;25333;58546;311;28430;3370;1659;2161;0;7;1;52
"2016-08-18 00:46:28.128";579384036;61231;61631;2;61631;0;0;6;10;247;205;60;10;226;225;504;46;269;3;26588;21067;597;32993;817;46;545;0;1;0;52
"2016-08-18 00:47:09.049";1188633604;20841;11501;2;22731;0;0;5;10;206;205;50;10;0;224;3023;108;504;0;3217;63996;117;1404;3634;108;3130;0;0;0;52
"2016-08-18 00:47:38.204";583891221;21731;40031;2;40031;0;0;4;10;36;205;40;10;217;223;549;1847;344;0;3158;59774;24;1209;2736;1851;2392;0;7;0;52
"2016-08-18 00:49:54.973";575035206;50431;61931;5;11801;0;0;6;10;16;205;60;10;225;4;529;916;546;16;14414;31626;163;4464;1987;932;1425;0;19;8;52
"2016-08-18 00:52:13.832";567936021;20441;10501;1;10501;1;0;4;10;14;205;40;10;1;215;527;445;135;0;2863;27321;41;1117;1105;446;971;0;1;0;52
"2016-08-18 00:52:57.449";584524806;20031;21731;5;21731;0;0;5;10;195;205;50;10;231;255;452;95;20;0;10492;30959;50;3168;566;96;546;0;1;0;52
"2016-08-18 00:54:01.14";3578212820;22731;40031;2;40031;0;0;4;10;117;205;40;10;223;224;5238;7985;1594;1;38113;36345;806;23993;14803;7992;13208;0;20;0;52
"2016-08-18 00:56:35.009";580464021;60831;61631;2;11401;0;0;6;10;48;205;60;10;237;238;561;29;287;0;26598;51618;512;32920;876;29;589;0;0;0;52
"2016-08-18 00:57:26.885";576374406;31301;50031;2;31131;1;0;7;10;200;205;74;14;207;255;457;0;768;41;303;10208;54;7;1223;0;415;0;0;0;52
"2016-08-18 00:57:35.684";577972804;31051;21501;1;21501;0;0;6;10;238;205;60;10;2;211;495;62;275;1;5396;21014;182;1268;831;62;555;0;0;0;52
"2016-08-18 00:57:38.833";576374406;31301;31131;2;31131;1;0;7;10;200;205;70;10;0;0;457;0;773;41;303;10208;54;7;1223;0;415;0;0;0;52
"2016-08-18 00:59:59.641";823262420;22831;20141;5;20141;0;0;5;10;156;205;50;10;221;215;1181;820;176;0;8153;22260;102;3320;2176;821;2000;0;1;0;52
"2016-08-18 01:00:29.609";657072006;10011;1;1;1;0;0;1;10;143;205;10;10;6;7;656;5330;0;0;291;2093;3;8;5985;5396;5985;0;66;0;52
"2016-08-18 01:03:00.652";562982405;30651;21501;1;21501;1;0;6;10;214;205;60;10;2;224;471;176;547;4;16417;37964;310;5701;1192;176;642;0;0;1;52
"2016-08-18 01:03:55.34";582912006;11601;20141;5;11501;0;0;5;10;63;205;50;10;220;1;576;346;10;0;8375;11919;38;2310;931;350;921;0;4;2;52
"2016-08-18 01:04:39.444";584812821;21831;22631;5;10101;0;0;5;10;243;205;50;10;231;231;500;8;59;0;5011;18837;34;1971;566;8;507;0;0;0;52
"2016-08-18 01:04:43.1";568080002;21151;20541;1;20541;0;0;5;10;92;205;50;10;211;219;605;171;268;1;3147;20254;74;898;1043;171;774;0;0;0;52
"2016-08-18 01:05:28.732";559310406;11201;10301;3;10701;0;0;3;10;248;205;30;10;4;4;505;3513;113;0;243;34197;6;2;4130;3534;4017;0;21;0;52
"2016-08-18 01:05:46.192";1187880004;21141;21151;5;20941;0;0;6;10;197;205;60;10;245;242;2758;1;1906;36;870;28443;382;161;4654;1;2722;0;0;0;52
"2016-08-18 01:06:04.153";584640021;22431;10401;5;20141;0;0;5;10;51;205;50;10;3;225;564;732;619;5;1812;890;51;578;1911;732;1287;0;3;0;52
"2016-08-18 01:06:12.285";1179324008;31131;21501;5;23031;0;0;6;10;175;205;60;10;5;4;944;4842;610;3;18501;46951;267;6416;6386;4879;5773;0;46;4;52
