date distinct_node_id packets
2016-06-19 00:00:00-04 56 236
2016-06-20 00:00:00-04 56 2810
2016-06-21 00:00:00-04 56 2827
2016-06-22 00:00:00-04 56 2850
2016-06-23 00:00:00-04 56 2740
2016-06-24 00:00:00-04 79 3247
2016-06-25 00:00:00-04 78 3975
2016-06-26 00:00:00-04 78 3933
2016-06-27 00:00:00-04 77 3820
2016-06-28 00:00:00-04 75 3767
2016-06-29 00:00:00-04 75 3846
2016-06-30 00:00:00-04 75 3604
2016-07-01 00:00:00-04 79 3805
2016-07-02 00:00:00-04 83 4140
2016-07-03 00:00:00-04 83 4610
2016-07-04 00:00:00-04 83 4617
2016-07-05 00:00:00-04 83 4486
2016-07-06 00:00:00-04 83 4147
2016-07-07 00:00:00-04 75 3288
2016-07-08 00:00:00-04 76 3287
2016-07-09 00:00:00-04 92 4663
2016-07-10 00:00:00-04 92 5265
2016-07-11 00:00:00-04 91 5196
2016-07-12 00:00:00-04 102 5530
2016-07-13 00:00:00-04 99 5939
2016-07-14 00:00:00-04 99 5901
2016-07-15 00:00:00-04 97 5672
2016-07-16 00:00:00-04 94 5559
2016-07-17 00:00:00-04 93 5559
2016-07-18 00:00:00-04 93 5443
2016-07-19 00:00:00-04 91 5415
2016-07-20 00:00:00-04 92 5483
2016-07-21 00:00:00-04 92 7125
2016-07-22 00:00:00-04 101 10907
2016-07-23 00:00:00-04 97 6973
2016-07-24 00:00:00-04 96 6899
2016-07-25 00:00:00-04 93 6031
2016-07-26 00:00:00-04 91 6440
2016-07-27 00:00:00-04 90 6606
2016-07-28 00:00:00-04 88 6501
2016-07-29 00:00:00-04 86 6299
2016-07-30 00:00:00-04 85 6044
2016-07-31 00:00:00-04 80 5687
2016-08-01 00:00:00-04 74 5337
2016-08-02 00:00:00-04 73 5412
2016-08-03 00:00:00-04 71 4979
2016-08-04 00:00:00-04 88 5437
2016-08-05 00:00:00-04 83 6280
2016-08-06 00:00:00-04 83 6220
2016-08-07 00:00:00-04 80 6124
2016-08-08 00:00:00-04 91 5135
2016-08-09 00:00:00-04 53 3333
2016-08-10 00:00:00-04 59 3573
2016-08-11 00:00:00-04 102 4847
2016-08-12 00:00:00-04 100 5446
2016-08-13 00:00:00-04 99 5418
2016-08-14 00:00:00-04 99 5324
2016-08-15 00:00:00-04 96 5067
2016-08-16 00:00:00-04 93 5027
2016-08-17 00:00:00-04 92 4992
2016-08-18 00:00:00-04 91 4913
2016-08-19 00:00:00-04 90 4851
2016-08-20 00:00:00-04 89 4872
2016-08-21 00:00:00-04 88 4822
2016-08-22 00:00:00-04 88 4739
2016-08-23 00:00:00-04 86 4681
2016-08-24 00:00:00-04 85 4559
2016-08-25 00:00:00-04 83 4243
2016-08-26 00:00:00-04 77 3713
2016-08-27 00:00:00-04 73 3380
2016-08-28 00:00:00-04 64 3318
2016-08-29 00:00:00-04 63 3459
2016-08-30 00:00:00-04 62 3471
2016-08-31 00:00:00-04 62 3447
2016-09-01 00:00:00-04 80 3703
2016-09-02 00:00:00-04 80 4399
2016-09-03 00:00:00-04 79 4345
2016-09-04 00:00:00-04 78 4317
2016-09-05 00:00:00-04 78 4263
2016-09-06 00:00:00-04 75 4176
2016-09-07 00:00:00-04 80 4162
2016-09-08 00:00:00-04 80 4317
2016-09-09 00:00:00-04 77 4008
2016-09-10 00:00:00-04 75 4001
2016-09-11 00:00:00-04 73 3953
2016-09-12 00:00:00-04 71 3982
2016-09-13 00:00:00-04 70 3945
2016-09-14 00:00:00-04 77 3590
2016-09-15 00:00:00-04 78 2988
2016-09-16 00:00:00-04 77 2903
2016-09-17 00:00:00-04 67 3189
2016-09-18 00:00:00-04 62 3421
2016-09-19 00:00:00-04 63 2258
