Total packets are: 26124

hop	packets	%
1	2947	0.112808145766
2	6295	0.240966161384
3	7678	0.293905986832
4	7128	0.27285254938
5	1707	0.065342214056
6	246	0.00941662838769
7	44	0.00168427499617
8	27	0.00103353238401
9	14	0.0005359056806
10	5	0.000191394885929
11	7	0.0002679528403
12	4	0.000153115908743
13	1	3.82789771857e-05
14	3	0.000114836931557
15	3	0.000114836931557
16	3	0.000114836931557
17	2	7.65579543715e-05
18	7	0.0002679528403
22	1	3.82789771857e-05
23	1	3.82789771857e-05
30	1	3.82789771857e-05
