2016-08-18 15:09:22 Round: 1
	avg_PRR: 0.989655787409	stdev: 0.0461917432194
	isolated: 0
	avg_prnt_set_size: 2.62365591398	stdev: 1.77142175142
	shortcut_count: 25
	shortcut_ratio: 0.271739130435

	node	PRR	prnt_size
	10011	1.0	1.0
	10101	1.0	1.0
	10201	1.0	1.0
	10301	1.0	1.0
	10401	1.0	2.0
	10501	1.0	3.0
	10601	1.0	5.0
	10701	1.0	1.0
	10801	1.0	2.0
	10911	1.0	1.0
	11001	1.0	4.0
	11101	1.0	1.0
	11201	1.0	3.0
	11301	1.0	1.0
	11401	1.0	5.0
	11501	1.0	1.0
	11601	1.0	5.0
	11801	1.0	3.0
	20031	1.0	5.0
	20141	1.0	2.0
	20151	1.0	5.0
	20251	1.0	5.0
	20301	1.0	5.0
	20441	1.0	1.0
	20541	1.0	1.0
	20641	1.0	5.0
	20711	1.0	2.0
	20841	1.0	1.0
	20851	1.0	1.0
	20941	1.0	5.0
	21031	0.833333333333	4.0
	21141	1.0	1.0
	21341	1.0	5.0
	21411	0.666666666667	5.0
	21501	1.0	1.0
	21731	1.0	2.0
	21831	1.0	5.0
	21931	1.0	5.0
	22031	1.0	5.0
	22131	1.0	5.0
	22231	1.0	5.0
	22331	1.0	1.0
	22431	1.0	1.0
	22531	1.0	5.0
	22631	1.0	1.0
	22731	1.0	2.0
	22831	1.0	5.0
	22931	1.0	5.0
	23031	1.0	4.0
	23131	1.0	5.0
	23241	1.0	2.0
	23341	1.0	2.0
	30251	1.0	1.0
	30351	0.833333333333	5.0
	30451	1.0	1.0
	30551	1.0	2.0
	30651	1.0	1.0
	30751	1.0	1.0
	30851	0.0	0.0
	31051	1.0	1.0
	31131	1.0	1.0
	31301	1.0	3.0
	40031	1.0	2.0
	40231	1.0	4.0
	40331	1.0	2.0
	50031	1.0	2.0
	50131	1.0	5.0
	50331	1.0	2.0
	50431	0.857142857143	1.0
	50531	1.0	2.0
	60001	1.0	1.0
	60201	0.888888888889	5.0
	60331	1.0	5.0
	60431	0.0	0.0
	60531	1.0	1.0
	60631	1.0	5.0
	60731	1.0	1.0
	60831	1.0	1.0
	60931	1.0	1.0
	61031	0.0	0.0
	61131	1.0	4.0
	61231	1.0	5.0
	61331	1.0	5.0
	61431	1.0	1.0
	61531	1.0	1.0
	61631	1.0	1.0
	61731	1.0	1.0
	61831	1.0	5.0
	61931	1.0	2.0
	62031	1.0	2.0
	62131	1.0	3.0
	62231	1.0	3.0

2016-08-18 17:09:59 Round: 2
	avg_PRR: 0.988812685442	stdev: 0.0443593742335
	isolated: 0
	avg_prnt_set_size: 2.34408602151	stdev: 1.68161867525
	shortcut_count: 12
	shortcut_ratio: 0.130434782609

	node	PRR	prnt_size
	10011	1.0	1.0
	10101	1.0	1.0
	10201	1.0	1.0
	10301	1.0	1.0
	10401	1.0	1.0
	10501	1.0	3.0
	10601	1.0	5.0
	10701	1.0	1.0
	10801	1.0	2.0
