2016-08-18 15:09:22 Round: 1
nodeid	prnt_size
10011	1.0
10801	2.0
10911	1.0
11001	4.0
11201	3.0
11801	3.0
20031	5.0
20151	5.0
20251	5.0
20301	5.0
20641	5.0
20841	1.0
20851	1.0
20941	5.0
21931	5.0
22031	5.0
22131	5.0
22331	1.0
22531	5.0
22631	1.0
22831	5.0
23131	5.0
23241	2.0
30451	1.0
30751	1.0
31301	3.0
40331	2.0
50131	5.0
60331	5.0
60531	1.0
60731	1.0
60831	1.0
60931	1.0
61131	4.0
61531	1.0
61731	1.0
61831	5.0
62231	3.0
number of leaf nodes: 38	avg_prnt_size: 3.02631578947	stdev: 1.78424157712

2016-08-18 17:09:59 Round: 2
nodeid	prnt_size
10011	1.0
10601	5.0
10911	2.0
11401	2.0
11801	3.0
20031	5.0
20251	5.0
20711	2.0
20841	2.0
20851	1.0
20941	5.0
21141	1.0
21341	5.0
21411	1.0
21501	4.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22231	5.0
22731	2.0
22831	5.0
23031	4.0
23241	3.0
30251	1.0
30351	1.0
30451	4.0
30651	1.0
30751	1.0
31051	1.0
31301	1.0
40231	3.0
50131	1.0
50431	1.0
60001	1.0
60201	5.0
60531	1.0
60631	1.0
60831	1.0
60931	1.0
61131	1.0
61231	1.0
61331	1.0
61431	2.0
61531	1.0
61631	2.0
61831	4.0
61931	2.0
62131	4.0
62231	3.0
number of leaf nodes: 50	avg_prnt_size: 2.58	stdev: 1.65033329967

2016-08-18 19:10:07 Round: 3
nodeid	prnt_size
10601	5.0
10801	2.0
10911	1.0
11001	3.0
11801	3.0
20031	5.0
20151	5.0
20301	5.0
20641	5.0
20711	2.0
20841	5.0
20851	1.0
21141	3.0
21831	5.0
21931	5.0
22031	4.0
22131	5.0
22531	5.0
22631	1.0
22731	2.0
23131	5.0
30251	3.0
30351	5.0
30751	2.0
31051	2.0
40331	2.0
50131	4.0
50331	1.0
50431	5.0
50531	2.0
60201	5.0
60331	5.0
60531	4.0
60731	1.0
60831	5.0
60931	4.0
61131	3.0
61531	5.0
61731	4.0
62031	3.0
number of leaf nodes: 40	avg_prnt_size: 3.55	stdev: 1.48239670804

2016-08-18 21:10:34 Round: 4
nodeid	prnt_size
10801	2.0
10911	1.0
11201	3.0
11801	3.0
20251	5.0
20711	2.0
20841	2.0
20851	1.0
20941	5.0
21031	4.0
21141	1.0
21341	5.0
21931	5.0
22031	4.0
22131	5.0
22331	5.0
22531	5.0
22631	1.0
22831	5.0
22931	5.0
23031	3.0
23131	5.0
30251	3.0
30451	1.0
30551	1.0
30651	1.0
31051	2.0
31301	2.0
40231	4.0
40331	3.0
50131	4.0
50331	1.0
60201	5.0
60331	5.0
60831	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
61831	5.0
61931	2.0
62031	3.0
62231	3.0
number of leaf nodes: 43	avg_prnt_size: 3.41860465116	stdev: 1.57350975107

