cycle_count	entropy	prr	pathlen	metric
1	2.8627	0.8750	2.5357	0.9878
2	2.8416	0.9375	2.5667	1.0379
3	2.8286	0.8750	2.5000	0.9900
4	2.8239	0.9375	2.4667	1.0733
5	2.8416	0.9375	2.5667	1.0379
6	2.8239	0.9375	2.4667	1.0733
7	2.8630	0.9062	2.4483	1.0598
8	2.8738	0.9688	2.5161	1.1064
9	2.8650	0.9375	2.4667	1.0889
10	2.8738	0.9688	2.5161	1.1064
11	2.9044	0.9375	2.5333	1.0748
12	2.8339	0.9375	2.5333	1.0487
13	2.8738	0.9688	2.5161	1.1064
14	2.8316	0.9062	2.5172	1.0194
15	2.8698	0.9062	2.4138	1.0775
16	2.8339	0.9375	2.5333	1.0487
17	2.8738	0.9688	2.5161	1.1064
18	2.8650	0.9375	2.4667	1.0889
19	2.8448	0.9062	2.5172	1.0242
20	2.8470	0.9062	2.5172	1.0250
21	2.8738	0.9688	2.5161	1.1064
22	2.8384	0.8750	2.5357	0.9795
23	2.8779	0.9375	2.4667	1.0938
24	2.8007	0.9062	2.5862	0.9814
25	2.8448	0.9062	2.5172	1.0242
26	2.8339	0.9062	2.6207	0.9800
27	2.8777	0.8750	2.5000	1.0072
28	2.8874	0.9688	2.4839	1.1261
29	2.8920	0.9375	2.4333	1.1142
30	2.8580	0.8438	2.3704	1.0173
31	2.8477	0.9375	2.5000	1.0679
32	2.8587	0.9062	2.4828	1.0435
33	2.8241	0.9062	2.4828	1.0308
34	2.8904	0.9062	2.4138	1.0852
35	2.8764	0.9062	2.3793	1.0956
36	2.8139	0.8750	2.4643	0.9991
37	2.8222	0.9062	2.5862	0.9890
38	2.8265	0.8438	2.4074	0.9906
39	2.8874	0.9688	2.4839	1.1261
40	2.8043	0.9062	2.4828	1.0236
41	2.8874	0.9688	2.4839	1.1261
42	2.8920	0.9375	2.4333	1.1142
43	2.8551	0.9375	2.5333	1.0566
44	2.8435	0.9062	2.3793	1.0830
45	2.8874	0.9688	2.4839	1.1261
46	2.9044	0.9375	2.4667	1.1039
47	2.9289	0.9062	2.3448	1.1320
48	2.9697	0.9062	2.4483	1.0992
49	2.9434	0.9375	2.4000	1.1497
50	2.9248	0.8750	2.3103	1.1077
51	2.9434	0.9375	2.4000	1.1497
52	2.9396	0.9688	2.4516	1.1616
53	2.8920	0.9375	2.4333	1.1142
54	2.9106	0.9062	2.4483	1.0774
55	2.9092	0.9062	2.4138	1.0923
56	2.9574	0.9375	2.4333	1.1394
57	2.8935	0.9375	2.4000	1.1303
58	2.8935	0.9375	2.4000	1.1303
59	2.9262	0.9375	2.4333	1.1274
60	2.8686	0.9062	2.3103	1.1252
61	2.9254	0.9688	2.3871	1.1872
62	2.9044	0.9375	2.3667	1.1505
63	2.9037	0.8750	2.3571	1.0779
64	2.9370	0.9375	2.3125	1.1907
65	2.9558	0.9062	2.3793	1.1258
66	2.9147	0.8750	2.2500	1.1335
67	2.8812	0.8750	2.3214	1.0860
68	2.9300	0.9375	2.3333	1.1772
69	2.9272	0.9688	2.3438	1.2099
70	2.9388	0.9688	2.4062	1.1831
71	2.9254	0.9688	2.3871	1.1872
72	2.9295	0.9062	2.3103	1.1491
73	2.9300	0.9375	2.3333	1.1772
74	2.9254	0.9688	2.3871	1.1872
75	2.9254	0.9688	2.3871	1.1872
76	2.9372	0.9375	2.4000	1.1474
77	2.9278	0.8750	2.2414	1.1430
78	2.9571	0.9688	2.4839	1.1533
79	2.9471	0.9062	2.4483	1.0909
80	2.9571	0.9688	2.4839	1.1533
81	3.0057	0.8750	2.4643	1.0673
82	2.9553	0.9062	2.4828	1.0788
83	2.9571	0.9688	2.4839	1.1533
84	2.9614	0.8438	2.3214	1.0764
85	2.9216	0.9375	2.4000	1.1412
86	2.9328	0.9062	2.4138	1.1011
87	2.9363	0.9688	2.4516	1.1603
88	2.9398	0.9375	2.4000	1.1484
89	2.9494	0.9688	2.4062	1.1874
90	2.9245	0.9375	2.4667	1.1115
91	2.9399	0.8750	2.3571	1.0913
92	2.9523	0.9062	2.4828	1.0777
93	2.9349	0.9375	2.4333	1.1307
94	2.9216	0.9375	2.4000	1.1412
95	2.8853	0.9375	2.4000	1.1271
96	2.9398	0.9375	2.4000	1.1484
97	2.9349	0.9375	2.4333	1.1307
98	2.9398	0.9375	2.4000	1.1484
99	2.9668	0.9375	2.4667	1.1276
100	2.9539	0.9062	2.3226	1.1526
101	2.9363	0.9688	2.4516	1.1603
102	2.9044	0.9375	2.5000	1.0892
103	2.9363	0.9688	2.4516	1.1603
104	2.9363	0.9688	2.4516	1.1603
105	2.9363	0.9688	2.4516	1.1603
106	2.9315	0.9375	2.4667	1.1142
107	2.9170	0.9062	2.4828	1.0648
108	2.9152	0.9375	2.4333	1.1231
109	2.9363	0.9688	2.4516	1.1603
110	2.9252	0.9062	2.3448	1.1306
111	2.9740	0.9375	2.4062	1.1587
112	2.9363	0.9688	2.4516	1.1603
113	2.8900	0.9062	2.4828	1.0549
114	2.9363	0.9688	2.4516	1.1603
115	2.9284	0.8438	2.3929	1.0326
116	2.9363	0.9688	2.4516	1.1603
117	2.8802	0.8750	2.3214	1.0856
118	2.9363	0.9688	2.4516	1.1603
119	2.9363	0.9688	2.4516	1.1603
120	2.8698	0.9062	2.4138	1.0775
121	2.9042	0.9062	2.4483	1.0750
122	2.9563	0.9062	2.4828	1.0791
123	2.9303	0.8438	2.4074	1.0270
124	2.9152	0.9375	2.4333	1.1231
125	2.8802	0.8750	2.3214	1.0856
126	2.9057	0.9375	2.4667	1.1044
127	2.9175	0.8750	2.3571	1.0830
128	2.9427	0.9375	2.4839	1.1107
129	2.8565	0.9062	2.4483	1.0573
130	2.9474	0.9375	2.4667	1.1202
131	2.9349	0.9375	2.4333	1.1307
132	2.9474	0.9375	2.4667	1.1202
133	2.8920	0.9375	2.4333	1.1142
134	2.9245	0.9375	2.4667	1.1115
135	2.9363	0.9688	2.4516	1.1603
136	2.9152	0.9375	2.4333	1.1231
137	2.9363	0.9688	2.4516	1.1603
138	2.8839	0.9062	2.4483	1.0675
139	2.9363	0.9688	2.4516	1.1603
140	2.9216	0.9062	2.4828	1.0664
141	2.9398	0.9375	2.4000	1.1484
142	2.9233	0.9062	2.5172	1.0524
143	2.9466	0.9062	2.4483	1.0907
