test	all_dups	dups_same_path	dups_diff_path
Ctp-1	50	44	35

nodeid	dup_count
1	0.0253
2	0.0253
4	0.0253
5	0.0380
6	0.0633
13	0.0253
14	0.0253
17	0.0253
18	0.0380
19	0.0253
26	0.1266
28	0.0253
32	0.5063
36	0.0253

hop	node_count	nodeids
1	8	[24, 25, 27, 28, 32, 33, 34, 35]
2	10	[5, 11, 13, 19, 26, 28, 30, 34, 35, 36]
3	18	[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14, 17, 18, 20, 22, 25, 26, 36]
4	16	[1, 3, 4, 6, 7, 8, 10, 12, 14, 15, 17, 18, 19, 20, 22, 26]
5	6	[2, 7, 8, 12, 17, 22]
6	1	[3]

nodeid	fwd_count	percent
1	138	0.0105
2	139	0.0106
3	135	0.0103
4	140	0.0106
5	236	0.0179
6	140	0.0106
7	136	0.0103
8	133	0.0101
10	136	0.0103
11	142	0.0108
12	134	0.0102
13	861	0.0654
14	797	0.0605
15	136	0.0103
17	137	0.0104
18	142	0.0108
19	444	0.0337
20	136	0.0103
22	131	0.0100
24	142	0.0108
25	154	0.0117
26	153	0.0116
27	3702	0.2812
28	994	0.0755
30	144	0.0109
32	167	0.0127
33	143	0.0109
34	146	0.0111
35	2313	0.1757
36	712	0.0541

