cycle_count	entropy	prr	pathlen	metric
1	2.8389	0.8710	2.4444	1.0115
2	2.8223	0.9677	2.3548	1.1598
3	2.9160	1.0000	2.2812	1.2783
4	2.8768	0.9355	2.3448	1.1477
5	2.8947	1.0000	2.3871	1.2127
6	2.8819	0.9677	2.3667	1.1784
7	2.8693	0.9032	2.3214	1.1164
8	2.9170	0.9677	2.4000	1.1762
9	2.8320	0.9355	2.4138	1.0976
10	2.9224	1.0000	2.4194	1.2079
11	2.9115	0.9677	2.3871	1.1804
12	2.9224	1.0000	2.4194	1.2079
13	2.9224	1.0000	2.4194	1.2079
14	2.8872	0.9032	2.3571	1.1063
15	2.9170	0.9677	2.4000	1.1762
16	2.9224	1.0000	2.4194	1.2079
17	2.9119	0.9677	2.4000	1.1741
18	2.9013	0.9355	2.3793	1.1407
19	2.9067	0.9355	2.3793	1.1428
20	2.8768	0.9355	2.3793	1.1311
21	2.9224	1.0000	2.4194	1.2079
22	2.8803	0.9677	2.4000	1.1614
23	2.9300	0.9677	2.4194	1.1720
24	2.9170	0.9677	2.4000	1.1762
25	2.8868	0.9355	2.3103	1.1689
26	2.9224	1.0000	2.4194	1.2079
27	2.9055	0.9677	2.3667	1.1881
28	2.9055	0.9677	2.3667	1.1881
29	2.9224	1.0000	2.4194	1.2079
30	2.9229	1.0000	2.4062	1.2147
31	2.8803	0.9677	2.4000	1.1614
32	2.9224	1.0000	2.4194	1.2079
33	2.8720	0.9355	2.4138	1.1131
34	2.9224	1.0000	2.4194	1.2079
35	2.8947	0.9355	2.3793	1.1381
36	2.8626	0.9355	2.3448	1.1421
37	2.9343	1.0000	2.4242	1.2104
38	2.9358	1.0000	2.4516	1.1975
39	2.9358	1.0000	2.4516	1.1975
40	2.9358	1.0000	2.4516	1.1975
41	2.9358	1.0000	2.4516	1.1975
42	2.9574	0.9677	2.4667	1.1603
43	2.9254	0.9677	2.4333	1.1634
44	2.9515	0.9677	2.4333	1.1738
45	2.9515	0.9677	2.4333	1.1738
46	2.8901	0.9677	2.4667	1.1339
47	2.9422	1.0000	2.4516	1.2001
48	2.9191	0.9677	2.4000	1.1771
49	2.9358	1.0000	2.4516	1.1975
50	2.9304	0.9677	2.4333	1.1654
51	2.9254	0.9677	2.4333	1.1634
52	2.9358	1.0000	2.4516	1.1975
53	2.9254	0.9677	2.4333	1.1634
54	2.9254	0.9677	2.4333	1.1634
55	2.9358	1.0000	2.4516	1.1975
56	2.8942	0.9677	2.4333	1.1510
57	2.9624	0.9677	2.4667	1.1622
58	2.9304	0.9677	2.4333	1.1654
59	2.9358	1.0000	2.4516	1.1975
60	2.9494	0.9677	2.4333	1.1730
61	2.9219	0.9355	2.4483	1.1165
62	2.9358	1.0000	2.4516	1.1975
