cycle_count	entropy	prr	pathlen	metric
1	3.1722	0.9375	2.7333	1.0880
2	3.2756	1.0000	2.6875	1.2188
3	3.2900	0.9062	2.4138	1.2352
4	3.2528	0.9688	2.5484	1.2365
5	3.3920	0.9688	2.5484	1.2895
6	3.3178	0.9688	2.6774	1.2004
7	3.3541	0.8750	2.6786	1.0957
8	3.3684	1.0000	2.7500	1.2249
9	3.2365	0.9375	2.4667	1.2301
10	3.3362	0.9375	2.9000	1.0785
11	3.4056	0.9688	2.9032	1.1364
12	3.2019	0.9688	2.5484	1.2172
13	3.3125	0.9688	2.6129	1.2281
14	3.2990	0.9375	2.6000	1.1896
15	3.2456	0.9062	2.4138	1.2185
16	3.4205	0.9688	2.6129	1.2682
17	3.3966	0.9375	2.6000	1.2247
18	3.4347	0.9688	2.7097	1.2280
19	3.3523	0.9062	2.8966	1.0488
20	3.1685	1.0000	2.5625	1.2365
21	3.2840	0.9688	2.7419	1.1603
22	3.3518	0.9375	2.5333	1.2404
23	3.5727	0.9688	2.8387	1.2192
24	3.3531	0.9062	2.8276	1.0747
25	3.4766	1.0000	2.6875	1.2936
26	3.3565	0.9688	2.6452	1.2293
27	3.2561	1.0000	2.6562	1.2258
28	3.3371	1.0000	2.5000	1.3348
29	3.3080	0.9688	2.8065	1.1419
30	3.2821	0.9688	2.6452	1.2020
31	3.0930	0.9375	2.6000	1.1153
32	3.2353	0.9688	2.6452	1.1849
33	3.4476	0.9375	2.6000	1.2431
34	3.3673	0.9375	2.6333	1.1988
35	3.2089	0.9688	2.6129	1.1897
36	3.3691	0.9688	2.6774	1.2190
37	3.3290	0.9688	2.6129	1.2343
38	3.2698	1.0000	2.6875	1.2167
39	3.2394	0.9688	2.4839	1.2634
40	3.0789	0.9688	2.2581	1.3209
41	3.2611	1.0000	2.5312	1.2883
42	3.3784	1.0000	2.6875	1.2571
43	3.0628	0.9375	2.4667	1.1641
44	3.1536	0.9375	2.3667	1.2492
45	3.2888	1.0000	2.5312	1.2993
46	3.2135	1.0000	2.2812	1.4087
47	3.0827	0.9375	2.5333	1.1408
48	3.1667	0.7812	2.3200	1.0664
49	3.4522	0.9375	2.7667	1.1698
50	3.3152	0.9688	2.4194	1.3275
51	3.2300	0.9688	2.5484	1.2279
52	3.3866	1.0000	3.0000	1.1289
53	3.3519	0.7812	2.9600	0.8847
54	3.3254	1.0000	2.7812	1.1957
55	3.3401	0.9375	2.4000	1.3047
56	3.4641	1.0000	2.8125	1.2317
57	3.1848	0.9375	2.4333	1.2270
58	3.5341	1.0000	2.9375	1.2031
59	3.2712	0.9688	2.4839	1.2758
60	3.2775	0.9375	2.5333	1.2129
61	3.3135	0.9375	2.7000	1.1505
62	3.4596	0.9688	2.9355	1.1417
63	3.4297	0.9688	2.6774	1.2409
64	3.3441	1.0000	2.5625	1.3050
65	3.3002	1.0000	2.6250	1.2572
66	3.3520	0.8750	2.8214	1.0395
67	3.3866	0.9688	2.7742	1.1826
68	3.2883	0.9688	2.4688	1.2903
69	3.1453	0.9062	2.3103	1.2338
70	3.3287	0.9375	2.5000	1.2482
71	3.3287	1.0000	2.5312	1.3150
72	3.1006	1.0000	2.7812	1.1148
73	3.4612	0.9688	2.6129	1.2833
74	3.2817	0.9688	2.5161	1.2635
75	3.4654	0.9688	2.4839	1.3516
76	3.1524	0.9688	2.7097	1.1270
77	3.2951	1.0000	2.4688	1.3347
78	2.9330	1.0000	2.5938	1.1308
79	3.3145	0.9375	2.3667	1.3130
80	3.3910	1.0000	2.7812	1.2192
81	3.3306	1.0000	2.7500	1.2111
82	3.3062	0.9375	2.6667	1.1623
83	3.2703	1.0000	2.6562	1.2312
84	3.3852	0.8750	2.7500	1.0771
85	3.2561	0.9062	2.5517	1.1564
86	3.2309	0.9062	2.7241	1.0748
87	3.4837	0.9688	2.7097	1.2455
88	3.3355	1.0000	2.6250	1.2707
89	3.2417	0.9688	2.8387	1.1063
90	3.4222	1.0000	2.5938	1.3194
91	3.1739	0.9375	2.7000	1.1021
92	3.3036	0.9688	2.5161	1.2719
93	3.3726	0.9375	2.5667	1.2319
94	3.3935	0.9688	2.6774	1.2278
95	3.2300	0.9375	2.5667	1.1798
96	3.4197	0.9062	3.4333	0.9027
97	3.4594	0.9062	2.4828	1.2627
98	3.5532	0.9375	2.8000	1.1897
99	3.4902	0.9375	2.9667	1.1030
100	3.2831	0.9688	2.5161	1.2641
101	3.4166	0.9688	2.6774	1.2362
102	3.4153	0.9688	2.9032	1.1396
103	3.2220	0.9688	2.4839	1.2566
104	3.5058	0.9062	3.1333	1.0140
105	3.1611	1.0000	2.4688	1.2804
106	3.2817	1.0000	2.6250	1.2502
107	3.3777	1.0000	2.5000	1.3511
108	3.2429	0.9688	2.7419	1.1458
109	3.4014	0.9375	3.1000	1.0287
110	3.3140	0.9688	2.6452	1.2137
111	3.1816	0.8750	2.7857	0.9994
112	3.0884	0.9688	2.7742	1.0785
113	3.4270	0.9688	2.7419	1.2108
114	3.3857	0.9688	2.5484	1.2870
115	3.2140	0.9688	2.5484	1.2218
116	3.4419	0.9375	2.8333	1.1389
117	3.2244	0.9688	2.6452	1.1809
118	3.1391	1.0000	2.4688	1.2715
119	3.2034	1.0000	2.5000	1.2814
120	3.1679	0.9688	2.4516	1.2518
121	3.2214	0.9688	2.8788	1.0841
122	2.9500	0.9375	2.6000	1.0637
123	3.2054	1.0000	2.6562	1.2067
124	3.4233	1.0000	2.7500	1.2448
125	3.3730	0.9062	2.7931	1.0944
126	3.3118	0.9375	2.5333	1.2256
127	3.2109	0.9375	2.4333	1.2371
128	3.5373	1.0000	2.7812	1.2718
129	3.3362	1.0000	2.4062	1.3865
130	3.4967	0.9375	2.5000	1.3113
131	3.3041	0.9375	2.4000	1.2907
132	3.2708	0.8750	2.2500	1.2720
133	3.4404	0.9375	2.6333	1.2248
134	3.2493	0.9375	2.4333	1.2519
135	3.2138	0.9375	2.5000	1.2052
136	3.1584	1.0000	2.4688	1.2793
137	3.4278	1.0000	2.7188	1.2608
138	3.2979	1.0000	2.9375	1.1227
139	3.5378	0.9688	3.0645	1.1184
140	3.3132	0.9688	2.5806	1.2437
141	3.3726	1.0000	2.6562	1.2697
142	3.2794	1.0000	2.5938	1.2643
143	3.3198	1.0000	2.5938	1.2799
144	3.4204	1.0000	2.6562	1.2877
145	3.4006	0.9375	2.8000	1.1386
146	3.2342	0.9688	2.5484	1.2294
147	3.1428	0.8750	2.3214	1.1846
148	3.3464	0.9375	2.6667	1.1765
149	3.4881	0.9375	2.6333	1.2418
150	3.5522	0.9375	3.1667	1.0516
151	3.4476	1.0000	2.5938	1.3292
152	3.3153	0.9688	2.5484	1.2603
153	3.3380	0.9688	2.7097	1.1934
154	3.3758	0.9688	2.5806	1.2672
155	3.3022	0.9062	2.4828	1.2054
156	3.4479	0.9688	2.8065	1.1902
157	3.4067	0.9375	2.7000	1.1829
158	3.3214	1.0000	2.9062	1.1429
159	3.2863	1.0000	2.8125	1.1685
160	3.2858	0.8750	2.8571	1.0063
161	3.3383	0.9688	2.7097	1.1935
162	3.1200	0.8125	2.5769	0.9837
163	3.1958	0.9688	2.4839	1.2464
164	3.4611	0.9375	2.6333	1.2322
165	3.2813	0.9375	2.5333	1.2143
166	3.2623	1.0000	2.4062	1.3557
167	3.3972	0.9062	2.6552	1.1595
168	3.1912	0.9688	2.2581	1.3691
169	3.3122	1.0000	2.4375	1.3588
170	3.4437	0.9688	2.4194	1.3789
171	3.1881	0.9375	2.7000	1.1070
172	3.4672	0.9688	2.8710	1.1699
173	3.1012	0.9688	2.5161	1.1940
174	3.4108	0.9688	2.7419	1.2051
175	3.2707	0.9688	2.5806	1.2278
176	3.4675	1.0000	2.8438	1.2193
177	3.2091	0.9062	2.3793	1.2223
178	3.4601	0.9688	2.6452	1.2672
179	3.3523	0.9688	2.5484	1.2743
