test	avg_prntSet	std
Orw-1	1.3051	0.0950

Orw-2	1.9911	0.1356

Orw-3	2.5789	0.1481

Orw-4	3.0426	0.1658

Orw-5	3.4455	0.1898

Orw-6	3.7446	0.1770

Orw-7	4.0113	0.1709

Orw-8	4.2685	0.1400

Orw-9	4.4457	0.1732

Orw-10	4.7243	0.1490

Orw-11	4.8125	0.1976

Orw-12	4.9397	0.1785

Orw-13	5.0385	0.1654

Orw-14	5.2005	0.1172

Orw-15	5.3040	0.1616

Orw-16	5.4119	0.1175

Orw-17	5.4906	0.1746

Orw-18	5.5938	0.1620

Orw-19	5.6771	0.2375

Orw-20	5.7383	0.1423

Orw-21	5.7891	0.1614

Orw-22	5.8828	0.1568

Orw-23	5.9018	0.1649

Orw-24	5.9732	0.1580

Orw-25	6.0134	0.1635

Orw-26	6.0990	0.1879

Orw-27	6.1875	0.1443

Orw-28	6.2240	0.1242

Orw-29	6.1875	0.1759

Orw-30	6.2938	0.1637

Orw-31	6.2562	0.1990

Orw-32	6.3563	0.1500

Orw-33	6.3750	0.1768

Orw-34	6.3750	0.1875

Orw-35	6.4375	0.2129

Orw-36	6.4609	0.2464

Orw-37	6.5156	0.2259

Orw-38	6.5703	0.2181

Orw-39	6.5703	0.2089

