cycle_count	entropy	prr	pathlen	metric
1	3.4031	0.9375	2.9333	1.0876
2	3.1911	0.9688	2.5161	1.2286
3	3.1746	0.8750	2.3929	1.1609
4	3.3987	1.0000	2.5938	1.3103
5	3.4383	1.0000	2.6875	1.2794
6	3.2561	0.9688	2.6129	1.2072
7	3.4360	0.9688	2.7419	1.2140
8	3.5488	0.9688	2.8387	1.2111
9	3.5102	0.9375	2.9000	1.1348
10	3.5020	0.9688	2.9032	1.1686
11	3.4892	0.9375	2.7000	1.2115
12	3.3476	0.9688	2.5806	1.2567
13	3.0570	1.0000	2.3125	1.3220
14	3.3665	1.0000	2.5000	1.3466
15	3.4431	0.9062	2.5517	1.2228
16	3.4132	0.9688	2.6452	1.2500
17	3.6078	0.9375	2.7000	1.2527
18	3.4128	0.9375	2.5000	1.2798
19	3.5072	0.9688	2.8710	1.1834
20	3.5505	1.0000	2.6562	1.3367
21	3.2945	1.0000	2.4375	1.3516
22	3.6307	0.9688	3.0312	1.1603
23	3.2944	0.9688	2.6452	1.2065
24	3.5865	0.9375	2.7333	1.2301
25	3.3449	0.9062	2.4483	1.2381
26	3.3136	0.9375	2.7000	1.1506
27	3.4852	0.9062	2.5517	1.2378
28	3.3583	0.9375	2.6000	1.2109
29	3.5237	0.9688	2.7097	1.2598
30	3.3395	0.9062	2.5172	1.2023
31	3.3938	0.9688	3.3871	0.9707
32	3.2282	0.9375	2.3667	1.2788
33	3.4576	0.9375	2.8333	1.1441
34	3.4708	0.9375	2.6333	1.2357
35	3.3646	0.9062	2.5517	1.1950
36	3.3783	0.9688	2.6774	1.2223
37	3.3002	1.0000	2.4375	1.3539
38	3.3350	0.9375	2.5000	1.2506
39	3.4307	0.9688	2.5484	1.3041
40	3.4545	0.9688	2.4516	1.3651
41	3.5907	0.9688	2.7742	1.2539
42	3.4898	0.9375	2.6000	1.2584
43	3.3159	0.9688	2.5484	1.2605
44	3.2769	0.9375	2.7000	1.1378
45	3.3362	0.9688	2.5806	1.2524
46	3.4941	0.9062	2.8621	1.1064
47	3.1323	0.9375	2.7333	1.0743
