test	all_dups	dups_same_path	dups_diff_path
Orw-1	1	0	2

nodeid	dup_count
5	0.5000
8	1.0000
11	0.5000
18	1.0000
25	0.5000
35	0.5000
36	0.5000

hop	node_count	nodeids
1	8	[24, 25, 27, 28, 32, 33, 34, 35]
2	12	[1, 3, 5, 11, 13, 14, 18, 19, 25, 26, 30, 36]
3	22	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 26, 30, 36]
4	22	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 26, 30, 36]
5	22	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 30, 36, 255]
6	17	[1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 20, 22]
7	10	[1, 3, 4, 6, 7, 11, 12, 18, 20, 22]
8	5	[2, 4, 6, 15, 20]
9	2	[4, 13]

nodeid	fwd_count	percent
1	225	0.0193
2	228	0.0196
3	239	0.0205
4	166	0.0142
5	724	0.0621
6	195	0.0167
7	196	0.0168
8	192	0.0165
10	191	0.0164
11	389	0.0334
12	179	0.0154
13	391	0.0335
14	952	0.0817
15	197	0.0169
17	175	0.0150
18	902	0.0774
19	306	0.0263
20	191	0.0164
22	203	0.0174
24	154	0.0132
25	371	0.0318
26	264	0.0226
27	187	0.0160
28	336	0.0288
30	143	0.0123
32	153	0.0131
33	974	0.0836
34	153	0.0131
35	2018	0.1731
36	661	0.0567

