cycle_count	entropy	prr	pathlen	metric
1	3.4373	0.8387	3.0769	0.9369
2	3.2298	0.9677	2.5667	1.2178
3	3.3640	1.0000	2.8710	1.1717
4	3.1468	0.8710	2.7778	0.9867
5	3.0145	1.0000	2.4839	1.2136
6	3.3638	0.9677	2.5667	1.2683
7	3.3942	0.9677	2.7333	1.2017
8	3.1484	1.0000	2.5161	1.2513
9	3.1351	1.0000	2.3871	1.3133
10	3.1490	0.9355	2.3448	1.2563
11	3.1642	0.8710	2.6296	1.0480
12	3.3197	0.9677	2.4667	1.3024
13	3.4299	0.9677	2.8000	1.1854
14	3.4357	0.9032	2.6429	1.1742
15	3.4391	1.0000	2.6774	1.2845
16	3.4276	0.9032	2.8571	1.0836
17	3.3765	0.9355	2.6552	1.1896
18	3.5225	0.9677	2.8333	1.2031
19	3.3209	0.9355	2.8621	1.0854
20	3.4338	0.9355	2.6552	1.2098
21	3.4117	1.0000	2.6774	1.2742
22	3.4259	0.9677	2.8333	1.1701
23	3.3415	0.9677	2.6667	1.2127
24	3.3590	0.9355	2.5862	1.2150
25	3.5105	0.9677	2.9000	1.1715
26	3.1168	0.9677	2.5000	1.2065
27	3.2113	0.9677	2.5000	1.2431
28	3.4067	0.9032	2.6071	1.1802
29	3.4243	0.9032	2.7857	1.1103
30	3.1547	0.9355	2.7586	1.0698
31	3.2085	0.9032	2.7500	1.0538
32	3.3078	0.9355	2.5172	1.2293
33	3.1457	0.9677	2.5667	1.1861
34	3.4595	0.9677	2.9333	1.1413
35	3.4923	1.0000	2.6774	1.3044
36	3.2293	1.0000	2.5161	1.2834
37	3.4819	1.0000	2.7419	1.2699
38	3.2015	0.9032	2.5000	1.1567
39	3.1402	1.0000	2.6129	1.2018
40	3.2498	0.8710	2.3333	1.2131
41	3.4277	0.9677	2.6667	1.2439
42	3.3905	1.0000	2.7742	1.2221
43	3.2545	1.0000	2.6774	1.2155
44	3.3325	0.9032	2.5357	1.1870
45	3.3101	0.9677	2.5667	1.2480
46	3.2181	0.9355	2.4828	1.2126
47	3.3892	1.0000	2.6452	1.2813
48	3.3042	0.9677	2.6000	1.2298
49	3.1970	0.9032	2.6071	1.1076
50	3.4730	0.9677	2.7667	1.2148
51	3.3127	1.0000	2.6774	1.2373
52	3.5700	0.9677	3.1000	1.1145
53	3.4282	0.9032	2.6071	1.1877
54	3.2866	0.9355	2.5862	1.1888
55	3.3790	0.9677	2.7667	1.1819
56	3.4828	1.0000	2.9032	1.1996
57	3.4328	0.9677	2.7000	1.2304
58	3.1759	0.9355	2.5172	1.1803
59	3.4427	0.9355	2.7241	1.1822
60	3.4705	1.0000	2.6774	1.2962
61	3.1025	0.9677	2.7333	1.0984
62	3.4179	0.9355	2.6897	1.1888
