test	avg_prntSet	std
Orw-1	1.3762	0.1033

Orw-2	2.0489	0.1358

Orw-3	2.5661	0.1665

Orw-4	2.9935	0.1577

Orw-5	3.3629	0.1559

Orw-6	3.6290	0.1621

Orw-7	3.9234	0.1478

Orw-8	4.1521	0.1596

Orw-9	4.2742	0.1365

Orw-10	4.4462	0.1010

Orw-11	4.6258	0.1422

Orw-12	4.7097	0.1306

Orw-13	4.8952	0.1004

Orw-14	4.9677	0.0822

Orw-15	5.0161	0.1915

Orw-16	5.1828	0.0925

Orw-17	5.2043	0.1451

Orw-18	5.2258	0.0456

Orw-19	5.3226	0.0263

Orw-20	5.3871	0.0000

Orw-21	5.4677	0.0161

Orw-22	5.6129	0.1613

Orw-23	5.6129	0.1935

Orw-24	5.6452	0.1613

Orw-25	5.6452	0.1935

Orw-26	5.6935	0.1452

Orw-27	5.7258	0.1452

Orw-28	5.8226	0.0484

Orw-29	5.8387	0.0968

Orw-30	5.8871	0.1452

Orw-31	5.9032	0.1613

Orw-32	6.0968	0.0000

Orw-33	6.0968	0.0000

Orw-34	6.1290	0.0000

Orw-35	6.1290	0.0000

Orw-36	6.1290	0.0000

Orw-37	6.1290	0.0000

Orw-38	6.1290	0.0000

Orw-39	6.1290	0.0000

