test	all_dups	dups_same_path	dups_diff_path
Orw-1	4	0	8

nodeid	dup_count
4	0.2500
5	0.1250
6	0.1250
7	0.2500
8	0.1250
11	0.1250
13	0.2500
14	0.5000
18	1.0000
19	0.2500
20	0.2500
22	0.2500
26	0.1250
33	0.3750
35	0.6250

hop	node_count	nodeids
1	11	[5, 18, 24, 25, 27, 28, 32, 33, 34, 35, 36]
2	16	[5, 6, 10, 11, 12, 13, 14, 18, 19, 25, 26, 28, 30, 34, 35, 36]
3	24	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 25, 26, 30, 35, 36]
4	23	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 25, 26, 30, 36]
5	22	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 26, 30, 36]
6	17	[1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22]
7	13	[3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 18, 22]
8	11	[3, 4, 6, 7, 8, 11, 12, 13, 15, 19, 30]
9	7	[4, 5, 6, 7, 8, 10, 20]
10	4	[3, 10, 12, 22]
11	1	[4]
12	2	[3, 5]
13	1	[20]
14	1	[22]
15	1	[12]
16	2	[15, 18]
17	1	[5]

nodeid	fwd_count	percent
1	37	0.0036
2	35	0.0034
3	169	0.0165
4	162	0.0158
5	555	0.0543
6	213	0.0208
7	193	0.0189
8	178	0.0174
10	181	0.0177
11	349	0.0341
12	172	0.0168
13	345	0.0337
14	856	0.0837
15	228	0.0223
17	156	0.0153
18	933	0.0912
19	268	0.0262
20	189	0.0185
22	179	0.0175
24	153	0.0150
25	275	0.0269
26	238	0.0233
27	225	0.0220
28	405	0.0396
30	137	0.0134
32	149	0.0146
33	919	0.0899
34	146	0.0143
35	1626	0.1590
36	554	0.0542

