test	avg_prntSet	std
Rctp-1	1.1759	0.0369

Rctp-2	1.6447	0.0511

Rctp-3	1.9408	0.0632

Rctp-4	2.1094	0.0754

Rctp-5	2.2330	0.0697

Rctp-6	2.3576	0.0921

Rctp-7	2.3984	0.0579

Rctp-8	2.4420	0.0773

Rctp-9	2.4792	0.0714

Rctp-10	2.5312	0.0593

Rctp-11	2.5438	0.0375

Rctp-12	2.5703	0.0259

Rctp-13	2.5781	0.0349

Rctp-14	2.5703	0.0462

Rctp-15	2.5521	0.0820

Rctp-16	2.5417	0.0531

Rctp-17	2.5625	0.0255

Rctp-18	2.5833	0.0147

Rctp-19	2.5938	0.0255

Rctp-20	2.6094	0.0156

Rctp-21	2.6250	0.0312

Rctp-22	2.6406	0.0156

Rctp-23	2.6406	0.0156

Rctp-24	2.6406	0.0156

Rctp-25	2.6406	0.0156

Rctp-26	2.6406	0.0156

Rctp-27	2.6406	0.0156

Rctp-28	2.6250	0.0000

Rctp-29	2.6250	0.0000

Rctp-30	2.6562	0.0000

Rctp-31	2.6562	0.0000

Rctp-32	2.6562	0.0000

Rctp-33	2.6875	0.0000

Rctp-34	2.7500	0.0000

Rctp-35	2.7812	0.0000

Rctp-36	2.7812	0.0000

Rctp-37	2.8125	0.0000

Rctp-38	2.8125	0.0000

Rctp-39	2.8125	0.0000

