test	all_dups	dups_same_path	dups_diff_path
Rctp-1	93	88	65

nodeid	dup_count
1	0.1111
2	0.0458
3	0.0523
5	0.1438
6	0.0131
7	0.0458
8	0.0850
10	0.0915
11	0.0915
12	0.0784
13	0.1830
14	0.2484
17	0.0261
18	0.2484
19	0.0784
20	0.0784
22	0.0784
25	0.0654
26	0.0654
28	0.0458
30	0.0131
32	0.0131
33	0.1830
34	0.0131
35	0.7908
36	0.1046
37	0.1046

hop	node_count	nodeids
1	7	[24, 25, 27, 32, 33, 34, 35]
2	11	[5, 13, 14, 18, 19, 25, 26, 28, 35, 36, 37]
3	22	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20, 22, 25, 26, 30, 37]
4	19	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 17, 19, 20, 22, 25, 26]
5	9	[1, 2, 4, 6, 7, 12, 15, 20, 22]
6	1	[22]

nodeid	fwd_count	percent
1	31	0.0240
2	16	0.0124
3	18	0.0139
4	13	0.0101
5	52	0.0402
6	21	0.0162
7	16	0.0124
8	23	0.0178
10	20	0.0155
11	28	0.0217
12	19	0.0147
13	67	0.0518
14	79	0.0611
15	13	0.0101
17	16	0.0124
18	117	0.0905
19	28	0.0217
20	19	0.0147
22	23	0.0178
24	13	0.0101
25	21	0.0162
26	22	0.0170
27	43	0.0333
28	23	0.0178
30	11	0.0085
32	13	0.0101
33	159	0.1230
34	12	0.0093
35	243	0.1879
36	47	0.0363
37	67	0.0518

