test	all_dups	dups_same_path	dups_diff_path
Rctp-1	677	657	502

nodeid	dup_count
1	0.0104
2	0.0069
3	0.0233
4	0.0397
5	0.0354
6	0.0371
7	0.0380
8	0.0380
10	0.0466
11	0.0569
12	0.0267
13	0.0518
14	0.0328
15	0.0380
17	0.0380
18	0.0371
19	0.0380
20	0.0293
22	0.0311
25	0.0302
26	0.0311
28	0.0319
30	0.0164
32	0.0708
33	0.0190
34	0.0475
35	0.0699
36	0.0285

hop	node_count	nodeids
1	8	[24, 25, 27, 28, 32, 33, 34, 35]
2	15	[5, 11, 13, 14, 18, 19, 25, 26, 28, 30, 32, 33, 34, 35, 36]
3	28	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 25, 26, 28, 30, 32, 33, 34, 35, 36]
4	25	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 25, 26, 28, 30, 34, 36]
5	23	[1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 25, 26, 28, 30, 36]
6	22	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 17, 18, 19, 20, 22, 25, 28, 30, 36]
7	11	[4, 6, 7, 10, 12, 13, 15, 17, 18, 20, 30]
8	6	[7, 8, 11, 17, 20, 26]
9	3	[15, 20, 22]
10	1	[8]

nodeid	fwd_count	percent
1	32	0.0029
2	32	0.0029
3	179	0.0161
4	143	0.0129
5	660	0.0595
6	158	0.0143
7	151	0.0136
8	221	0.0199
10	165	0.0149
11	462	0.0417
12	154	0.0139
13	334	0.0301
14	915	0.0825
15	153	0.0138
17	139	0.0125
18	748	0.0675
19	240	0.0216
20	140	0.0126
22	155	0.0140
24	137	0.0124
25	211	0.0190
26	199	0.0180
27	451	0.0407
28	206	0.0186
30	124	0.0112
32	286	0.0258
33	1595	0.1439
34	194	0.0175
35	2054	0.1853
36	448	0.0404

