test	all_dups	dups_unique_path	duped_path
Rctp-1	6	5	7

nodeid	dup_count
1	0.1667
5	0.0833
12	0.1667
14	0.4167
17	0.0833
18	0.1667
22	0.1667
26	0.0833
27	0.0833
28	0.2500
33	0.3333
35	0.3333
37	0.0833

hop	node_count	nodeids
1	8	[24, 25, 27, 28, 32, 33, 34, 35]
2	10	[1, 5, 11, 13, 14, 18, 26, 30, 36, 37]
3	17	[1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 15, 17, 18, 19, 20, 22, 30]
4	13	[1, 2, 3, 4, 6, 7, 8, 10, 12, 15, 19, 20, 22]
5	4	[2, 12, 17, 20]
7	1	[2]

nodeid	fwd_count	percent
1	84	0.0143
2	90	0.0153
3	109	0.0185
4	78	0.0133
5	226	0.0384
6	84	0.0143
7	90	0.0153
8	78	0.0133
10	85	0.0145
11	158	0.0269
12	78	0.0133
13	291	0.0495
14	402	0.0684
15	82	0.0139
17	91	0.0155
18	379	0.0645
19	92	0.0156
20	82	0.0139
22	85	0.0145
24	95	0.0162
25	231	0.0393
26	154	0.0262
27	210	0.0357
28	236	0.0401
30	86	0.0146
32	95	0.0162
33	594	0.1010
34	95	0.0162
35	1116	0.1898
36	126	0.0214
37	177	0.0301

