test	avg_prntSet	std
Rctp-1	1.2524	0.0999

Rctp-2	1.8175	0.1312

Rctp-3	2.1382	0.1645

Rctp-4	2.3992	0.1774

Rctp-5	2.4963	0.1608

Rctp-6	2.6097	0.1850

Rctp-7	2.6846	0.2067

Rctp-8	2.7863	0.1968

Rctp-9	2.8249	0.1714

Rctp-10	2.8548	0.1365

Rctp-11	2.9355	0.1881

Rctp-12	2.9097	0.1712

Rctp-13	2.9161	0.2067

Rctp-14	2.9355	0.1975

Rctp-15	3.0000	0.1387

Rctp-16	3.0565	0.1055

Rctp-17	3.0860	0.1097

Rctp-18	3.0968	0.1207

Rctp-19	3.1183	0.1451

Rctp-20	3.0968	0.1317

Rctp-21	3.1075	0.1451

Rctp-22	3.1290	0.1613

Rctp-23	3.1452	0.1452

Rctp-24	3.1452	0.1452

Rctp-25	3.1774	0.1452

Rctp-26	3.1935	0.1613

Rctp-27	3.1613	0.1290

Rctp-28	3.1613	0.1290

Rctp-29	3.1774	0.0806

Rctp-30	3.1935	0.0323

Rctp-31	3.1935	0.0323

Rctp-32	3.2258	0.0645

Rctp-33	3.2903	0.0000

Rctp-34	3.2903	0.0000

Rctp-35	3.2903	0.0000

Rctp-36	3.2903	0.0000

Rctp-37	3.3226	0.0000

Rctp-38	3.3548	0.0000

Rctp-39	3.3548	0.0000

