test	entropy_avg	std	metric	std
add-8	3.2758	0.0471	1.8945	0.0708

add-10	3.4560	0.0711	1.6953	0.0455

add-12	3.2286	0.1350	1.4639	0.1914

add-14	3.5065	0.0671	1.4998	0.0376

add-16	3.5225	0.0612	1.2338	0.0563

add-18	3.4367	0.2148	0.6749	0.3383

add-20	3.6133	0.0903	0.7886	0.1634

add-22	3.4327	0.0404	0.6867	0.0515

add-24	3.0247	0.0130	0.4848	0.1241

add-26	2.8166	0.1878	0.3432	0.0556

trace-1	3.3748	0.0470	1.6026	0.0220

trace-2	3.3863	0.1227	1.6243	0.0894

trace-3	3.5799	0.0110	1.6686	0.0030

trace-4	3.4298	0.0415	1.5106	0.0228

trace-5	3.5957	0.0793	1.4801	0.0726

trace-6	3.6453	0.1301	0.9986	0.0796

trace-7	3.5871	0.1291	1.5299	0.1539

trace-8	3.3375	0.0660	1.5966	0.0571

trace-9	3.2596	0.0755	1.7532	0.0667

trace-10	3.3974	0.0570	1.7310	0.0304

trace-11	3.2968	0.0592	1.6978	0.1239

trace-12	3.5587	0.0214	1.3458	0.1967

trace-13	3.5261	0.0628	1.5346	0.0726

trace-14	3.3795	0.0307	1.5246	0.0515

trace-15	3.1969	0.0243	1.0639	0.1142

